         867
 Glass RT                                                                        
  0.01  -1.0 0.0
  0.03 -1.0 0.0
  0.05 -1.0 0.0 
  0.07 -1.0 0.0
  0.09 -1.0 0.0
  0.11  -1.0 0.0
  0.13 -1.0 0.0
  0.15 -1.0 0.0 
  0.17 -1.0 0.0
  0.19 -1.0 0.0
  0.21  -1.0 0.0
  0.23 -1.0 0.0
  0.25 -1.0 0.0 
  0.27 -1.0 0.0
  0.29 -1.0 0.0
  0.31  -1.0 0.0
  0.33 -1.0 0.0
  0.35 -1.0 0.0 
  0.37 -1.0 0.0
  0.39 -1.0 0.0
  0.41  -1.0 0.0
  0.43 -1.0 0.0
  0.45 -1.0 0.0 
  0.47 -1.0 0.0
  0.49 -1.0 0.0
  0.51  -1.0 0.0
  0.53 -1.0 0.0
  0.55 -1.0 0.0 
  0.57 -1.0 0.0
  0.59 -1.0 0.0
  0.61  -1.0 0.0
  0.63 -1.0 0.0
  0.65 -1.0 0.0 
  0.6500000     -0.8163470      0.2955021    
  0.6700000     -0.8010535      0.3531208    
  0.6899999     -0.7839647      0.3690372    
  0.7099999     -0.7684550      0.3834221    
  0.7299999     -0.7539720      0.3969320    
  0.7499999     -0.7390326      0.4109468    
  0.7699999     -0.7250285      0.4241063    
  0.7899998     -0.7105154      0.4378550    
  0.8099998     -0.6961384      0.4514997    
  0.8299998     -0.6821540      0.4648252    
  0.8499998     -0.6681767      0.4781764    
  0.8699998     -0.6554848      0.4902826    
  0.8899997     -0.6426014      0.5026410    
  0.9099997     -0.6285434      0.5161997    
  0.9299997     -0.6156362      0.5286213    
  0.9499997     -0.6012375      0.5426170    
  0.9699997     -0.5857865      0.5576298    
  0.9899997     -0.5698476      0.5732113    
   1.010000     -0.5518612      0.5908276    
   1.030000     -0.5327256      0.6096389    
   1.050000     -0.5110369      0.6310201    
   1.070000     -0.4882341      0.6535119    
   1.090000     -0.4648249      0.6766388    
   1.110000     -0.4374256      0.7038231    
   1.130000     -0.4049668      0.7360517    
   1.149999     -0.3706039      0.7701618    
   1.169999     -0.3344857      0.8060710    
   1.189999     -0.2951379      0.8452221    
   1.209999     -0.2521278      0.8880548    
   1.229999     -0.2014350      0.9386805    
   1.249999     -0.1486209      0.9911829    
   1.269999     -9.3259230E-02   1.046503    
   1.289999     -3.3904847E-02   1.105598    
   1.309999      2.7215097E-02   1.166629    
   1.329999      9.1107205E-02   1.230306    
   1.349999      0.1531418       1.292146    
   1.369999      0.2180574       1.356982    
   1.389999      0.2791552       1.417757    
   1.409999      0.3380508       1.476611    
   1.429999      0.3969808       1.535297    
   1.449999      0.4409358       1.578986    
   1.469999      0.4806773       1.618675    
   1.489999      0.5123775       1.650130    
   1.509999      0.5256686       1.663296    
   1.529999      0.5337282       1.671255    
   1.549999      0.5314044       1.668844    
   1.569999      0.5153320       1.652701    
   1.589999      0.4937593       1.631057    
   1.609999      0.4674504       1.604694    
   1.629999      0.4280087       1.565308    
   1.649999      0.3812537       1.518446    
   1.669999      0.3383679       1.475484    
   1.689999      0.2879792       1.425190    
   1.709999      0.2357253       1.372762    
   1.729999      0.1904988       1.327481    
   1.749999      0.1429103       1.279897    
   1.769999      9.8322332E-02   1.235165    
   1.789999      5.1258534E-02   1.188222    
   1.809999      7.0383954E-03   1.143756    
   1.829999     -2.8075075E-02   1.108632    
   1.849999     -7.0178203E-02   1.066593    
   1.869999     -0.1065045       1.030044    
   1.889999     -0.1391138      0.9975145    
   1.909999     -0.1747224      0.9617983    
   1.929999     -0.2019315      0.9344938    
   1.949999     -0.2272862      0.9091386    
   1.969999     -0.2538023      0.8825718    
   1.989999     -0.2797293      0.8566244    
   2.009999     -0.3040802      0.8322081    
   2.029999     -0.3212519      0.8149542    
   2.049999     -0.3387517      0.7974810    
   2.069999     -0.3570012      0.7791491    
   2.089999     -0.3727731      0.7633685    
   2.109999     -0.3888135      0.7472802    
   2.129999     -0.4018581      0.7341962    
   2.149999     -0.4149356      0.7211020    
   2.169999     -0.4268258      0.7091639    
   2.189999     -0.4391354      0.6968524    
   2.209999     -0.4505013      0.6854289    
   2.229999     -0.4592493      0.6766626    
